Заказ;ДЕТСКОЕ ПИТАНИЕ;ЖЕНСКИЕ ШТУЧКИ;ИГРУШКИ;КАНЦТОВАРЫ, КНИГИ, ДИСКИ;КОСМЕТИКА/ГИГИЕНА;КРУПНОГАБАРИТНЫЙ ТОВАР;ОБУВЬ;ПОДГУЗНИКИ;СОПУТСТВУЮЩИЕ ТОВАРЫ;ТЕКСТИЛЬ, ТРИКОТАЖ;ТЕХНИКА И ТОВАРЫ ДЛЯ ДОМА;ТОВАРЫ ДЛЯ ЖИВОТНЫХ;ТОВАРЫ ДЛЯ КОРМЛЕНИЯ
1866001173_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002517_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002518_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002519_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002520_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002521_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002524_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002525_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002526_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002527_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002528_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002530_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002534_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002535_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002536_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002537_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002538_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002539_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002542_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002543_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002545_TR;0;0;0;0;0;2;0;0;0;0;0;0;0
1867002546_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002547_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002549_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002550_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002551_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002552_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002553_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002554_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002555_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002556_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002557_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002558_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002559_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002560_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002564_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002565_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002566_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
1867002568_TR;0;0;0;0;0;1;0;0;0;0;0;0;0
